sample,time,temp1,val1,val2,val3,
276,1212.9734,24.070,+1.05906114E+01,1.05907660E+01,+2.04000000E-02,
277,1217.3763,24.070,+1.05906125E+01,1.05907655E+01,+2.04000000E-02,
278,1221.7794,24.070,+1.05906112E+01,1.05907674E+01,+2.04000000E-02,
279,1226.1820,24.070,+1.05906118E+01,1.05907663E+01,+2.02690000E-02,
280,1230.5844,24.070,+1.05906112E+01,1.05907657E+01,+2.02690000E-02,
281,1234.9865,24.070,+1.05906116E+01,1.05907675E+01,+2.04000000E-02,
282,1239.3894,24.070,+1.05906107E+01,1.05907656E+01,+2.02690000E-02,
283,1243.7917,24.070,+1.05906112E+01,1.05907669E+01,+2.04000000E-02,
284,1248.1948,24.070,+1.05906109E+01,1.05907683E+01,+2.04000000E-02,
285,1252.5979,24.086,+1.05906106E+01,1.05907689E+01,+2.02690000E-02,
286,1257.0066,24.086,+1.05906114E+01,1.05907693E+01,+2.02690000E-02,
287,1261.4038,24.086,+1.05906109E+01,1.05907672E+01,+2.02690000E-02,
288,1265.8065,24.086,+1.05906113E+01,1.05907682E+01,+2.02690000E-02,
289,1270.2094,24.078,+1.05906109E+01,1.05907670E+01,+2.04000000E-02,
290,1274.6122,24.078,+1.05906119E+01,1.05907666E+01,+2.02690000E-02,
291,1279.0149,24.078,+1.05906111E+01,1.05907661E+01,+2.04000000E-02,
292,1283.4174,24.078,+1.05906111E+01,1.05907672E+01,+2.04000000E-02,
293,1287.8200,24.062,+1.05906110E+01,1.05907659E+01,+2.04000000E-02,
294,1292.2226,24.062,+1.05906104E+01,1.05907663E+01,+2.02690000E-02,
295,1296.6254,24.062,+1.05906103E+01,1.05907675E+01,+2.02690000E-02,
296,1301.0282,24.062,+1.05906110E+01,1.05907675E+01,+2.02690000E-02,
297,1305.4309,24.055,+1.05906105E+01,1.05907671E+01,+2.02690000E-02,
298,1309.8342,24.055,+1.05906110E+01,1.05907671E+01,+2.04000000E-02,
299,1314.2379,24.055,+1.05906113E+01,1.05907663E+01,+2.02690000E-02,
300,1318.6412,24.055,+1.05906113E+01,1.05907649E+01,+2.04000000E-02,
301,1323.0435,24.062,+1.05906107E+01,1.05907650E+01,+2.04000000E-02,
302,1327.4608,24.062,+1.05906104E+01,1.05907645E+01,+2.04000000E-02,
303,1331.8503,24.062,+1.05906112E+01,1.05907654E+01,+2.04000000E-02,
304,1336.2504,24.062,+1.05906107E+01,1.05907670E+01,+2.02690000E-02,
305,1340.6527,24.062,+1.05906109E+01,1.05907647E+01,+2.04000000E-02,
306,1345.0530,24.062,+1.05906109E+01,1.05907660E+01,+2.04000000E-02,
307,1349.4552,24.062,+1.05906112E+01,1.05907640E+01,+2.02690000E-02,
308,1353.8566,24.062,+1.05906113E+01,1.05907657E+01,+2.02690000E-02,
309,1358.2591,24.062,+1.05906107E+01,1.05907660E+01,+2.02690000E-02,
310,1362.6613,24.062,+1.05906114E+01,1.05907668E+01,+2.02690000E-02,
311,1367.0626,24.062,+1.05906108E+01,1.05907675E+01,+2.04000000E-02,
312,1371.4658,24.062,+1.05906110E+01,1.05907673E+01,+2.04000000E-02,
313,1375.8661,24.070,+1.05906106E+01,1.05907674E+01,+2.02690000E-02,
